X longitude,Y Latitude,ID,Nama Objek,Alamat,Kontak,Type,Desa,Kecamatan,Kabupaten,Prov,Master_category
-7.81760000000,110.35715000000,3471010002,Apotik Aditya Farma,"JL Suryodiningratan, No. 60, Pugeran, Mantrijeron, Yogyakarta, DI Yogyakarta",0274 912 5036,Pharmacy,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81859000000,110.36222600000,3471010003,Balai Pengobatan Paru Paru - Yogyakarta,"JL. Prenggan No.1, Yogyakarta",62 274 374 722,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81867853450,110.35533206200,3471010001,Ummunaylashop.com,"JL. Bantul, Yogyakarta, DI Yogyakarta",0878 836 54211,Pharmacy,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81719000000,110.35619036900,3471010002,Joglo Premier,"JL. Bantul, No. 95, Gedong Kiwo, Mantrijeron, Yogyakarta, 55142",274 388 000,Public Health Service,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81847120000,110.36212410000,3471010003,Balai Pengobatan Penyakit Paru- Paru (BP4),"JL. D.I Panjaitan, No. 49, Yogyakarta, DI Yogyakarta",0274 376 941,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.80846400000,110.35397400000,3471010001,PDGI Cabang Kulonprogo,"JL. S. Parman, No. 1, Wates Kulon Progo, Yogyakarta, DI Yogyakarta",0274 733 011,Clinic,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82414154681,110.36589503300,3471010003,Klinik Supranatural Alhikmah,"JL. Jogokaryan, No. 12 B, Yogyakarta, DI Yogyakarta",0274 418 854,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81859874919,110.36178077700,3471010002,Atiek Salon,"JL. D.I Panjaitan, No. 110, Yogyakarta, DI Yogyakarta",0812 1567 7739,Salon & Spa,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82158950633,110.36545574600,3471010003,Salon Sahera,"JL. Mangkuyudan, Yogyakarta, DI Yogyakarta",0813 9857 1673,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81853000000,110.36200000000,3471010002,Balai Pengobatan Paru Pau,,,Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81881133110,110.36242450700,3471010003,Bidan Hana Pertiwi,"JL. D.I Panjaitan, No. 102, Yogyakarta, DI Yogyakarta",089 850 08 303,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81589000000,110.36813181200,3471010003,K-seng,"JL. Parangtritis, No. 3, Yogyakarta",", 0817 2844 449",Public Health Service,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81885384747,110.36233867700,3471010003,Balai Pengobatan Paru- Paru (BP4),"JL. D.I Panjaitan, No. 4, Yogyakarta, DI Yogyakarta",0274 376 941,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
